pt_code,term_ja,reading_kana,reading_alt
10014803,内視鏡的逆行性胆道膵管造影異常,ナイシキョウテキギャッコウセイタンドウスイカンゾウエイイジョウ,
10014804,内視鏡的逆行性胆道膵管造影正常,ナイシキョウテキギャッコウセイタンドウスイカンゾウエイセイジョウ,
10014805,内視鏡検査,ナイシキョウケンサ,
10014806,胆道内視鏡検査,タンドウナイシキョウケンサ,
10014807,胆道内視鏡検査異常,タンドウナイシキョウケンサイジョウ,
10014808,胆道内視鏡検査正常,タンドウナイシキョウケンサセイジョウ,
10014809,消化管内視鏡検査,ショウカカンナイシキョウケンサ,
10014816,小腸内視鏡検査,ショウチョウナイシキョウケンサ,
10014817,小腸内視鏡検査異常,ショウチョウナイシキョウケンサイジョウ,
10014818,小腸内視鏡検査正常,ショウチョウナイシキョウケンサセイジョウ,
10014819,上部消化管内視鏡検査,ジョウブショウカカンナイシキョウケンサ,
10014820,上部消化管内視鏡検査異常,ジョウブショウカカンナイシキョウケンサイジョウ,
10014821,上部消化管内視鏡検査正常,ジョウブショウカカンナイシキョウケンサセイジョウ,
10014824,エンドトキシンショック,エンドトキシンショック,
10014838,陰核肥大,インカクヒダイ,
10014853,眼球陥入,ガンキュウカンニュウ,
10014856,外傷による眼球陥入,ガイショウニヨルガンキュウカンニュウ,
10014866,小腸炎,ショウチョウエン,
10014877,白血球減少性腸炎,ハッケッキュウゲンショウセイチョウエン,
10014878,壊孔性腸炎,カイコウセイチョウエン,
10014881,蟯虫症,ギョウチュウショウ,
10014884,腸ヘルニア,チョウヘルニア,
10014885,腸球菌性菌血症,チョウキュウキンセイキンケツショウ,
10014893,腸炎,チョウエン,
10014894,エイズ腸炎,エイズチョウエン,
10014896,出血性腸炎,シュッケツセイチョウエン,
10014909,エンテロウイルス感染,エンテロウイルスカンセン,
10014910,腱付着部症,ケンフチャクブショウ,
10014923,先天性眼瞼内反症,センテンセイガンケンナイハンショウ,
10014928,遺尿,イニョウ,
10014935,酵素異常,コウソイジョウ,
10014940,好酸球減少症,コウサンキュウゲンショウショウ,
10014941,好酸球数,コウサンキュウスウ,
10014943,好酸球数減少,コウサンキュウスウゲンショウ,
10014945,好酸球数増加,コウサンキュウスウゾウカ,
10014946,好酸球数正常,コウサンキュウスウセイジョウ,
10014950,好酸球増加症,コウサンキュウゾウカショウ,
10014952,好酸球増加・筋痛症候群,コウサンキュウゾウカキンツウショウコウグン,
10014954,好酸球性筋膜炎,コウサンキュウセイキンマクエン,
10014958,好酸球性白血病,コウサンキュウセイハッケツビョウ,
10014961,好酸球性心筋炎,コウサンキュウセイシンキンエン,
10014962,好酸球性肺炎,コウサンキュウセイハイエン,
10014965,上衣炎,ジョウイエン,
10014967,脳室上衣細胞腫,ノウシツジョウイサイボウシュ,
10014968,悪性上衣細胞腫,アクセイジョウイサイボウシュ,
10014969,良性上衣細胞腫,リョウセイジョウイサイボウシュ,
10014970,雀卵斑,ジャクランハン,
10014971,上顆炎,ジョウカエン,
10014978,流行性胸膜痛,リュウコウセイキョウマクツウ,
10014979,発疹チフス,ホッシンチフス,ハッシンチフス
10014985,表皮母斑,ヒョウヒボハン,
10014988,類表皮嚢胞切除術,ルイヒョウヒノウホウセツジョジュツ,
10014989,表皮水疱症,ヒョウヒスイホウショウ,
10014994,精巣上体嚢胞,セイソウジョウタイノウホウ,
10014996,精巣上体嚢胞摘除,セイソウジョウタイノウホウテキジョ,
10014999,精巣上体摘除,セイソウジョウタイテキジョ,
10015000,精巣上体炎,セイソウジョウタイエン,
10015001,ブラストミセス菌性精巣上体炎,ブラストミセスキンセイセイソウジョウタイエン,
10015002,ムンプス性精巣上体炎,ムンプスセイセイソウジョウタイエン,
10015004,精巣上体結核,セイソウジョウタイケッカク,
10015006,淋菌性精巣・精巣上体炎,リンキンセイセイソウセイソウジョウタイエン,
10015011,硬膜外麻酔,コウマクガイマスイ,
10015029,喉頭蓋浮腫,コウトウガイフシュ,
10015030,喉頭蓋炎,コウトウガイエン,
10015031,ヘモフィルス性喉頭蓋炎,ヘモフィルスセイコウトウガイエン,
10015033,閉塞性喉頭蓋炎,ヘイソクセイコウトウガイエン,
10015034,持続性部分てんかん,ジゾクセイブブンテンカン,
10015037,てんかん,テンカン,
10015039,先天性てんかん,センテンセイテンカン,
10015049,てんかんの前兆,テンカンノゼンチョウ,
10015060,エピネフリン,エピネフリン,
10015062,エピネフリン減少,エピネフリンゲンショウ,
10015064,エピネフリン増加,エピネフリンゾウカ,
10015066,エピネフリン正常,エピネフリンセイジョウ,
10015077,骨端閉鎖遅延,コッタンヘイサチエン,
10015078,骨端早期閉鎖,コッタンソウキヘイサ,
10015079,骨端離開,コッタンリカイ,
10015082,骨端炎,コッタンエン,
10015084,上強膜炎,ジョウキョウマクエン,
10015087,会陰側切開,エインソクセッカイ,
10015088,尿道上裂,ニョウドウジョウレツ,
